"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"1028","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,291,"r","-0.04","0.11","Donnellan et al.(2015b)","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort",NA,NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20et%20al%20(2015b)%20rejoinder%20supplementary%20file%20-%20another%20direct%20rep%20of%20b%26s%202012%20study%201.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1028,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1029","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,365,"r","-0.03","0.1","Ferrell et al. (2013)","no signal - inconsistent","Revised UCLA Loneliness scale (3-item; Hughes et al., 2004)","showering/bathing behaviors (3-items)","close","individual effort","online (UT Austin)",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://traitstate.files.wordpress.com/2014/05/u-of-t-failure-to-replicate_final.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1029,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1030","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,356,"r","-0.02","0.1","McDonald & Donnellan (2015)","no signal - inconsistent","Revised UCLA Loneliness scale (3-item; Hughes et al., 2004)","showering/bathing behaviors (3-items)","close","individual effort","online Israeli sample",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://web.archive.org/web/20170107101257/http://www.psychfiledrawer.org/files/5051407362021McDonald%20and%20Donnellan.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1030,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1031","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,480,"r","-0.01","0.09","Donnellan et al. (2015a) Study 2","no signal - inconsistent","UCLA Loneliness scale (20-item v3)","showering/bathing behaviors (3-items)","close","individual effort","online (mTurk); slightly different scale response options; 20-item (instead of 10-item) UCLA Loneliness Scale",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%201%20to%204.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%201%20to%204.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1031,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1032","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,365,"r","0.02","0.1","Donnellan et al. (2015a) Study 8","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort",NA,NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%205%20to%209.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%205%20to%209.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1032,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1033","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,311,"r","0.02","0.11","Donnellan et al. (2015a) Study 7","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort",NA,NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%205%20to%209.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%205%20to%209.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1033,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1034","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,531,"r","0.04","0.08","Donnellan & Lucas (2014)","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort",NA,NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://web.archive.org/web/20170405040007/http://psychfiledrawer.org/files/471398782639Spring%202014%20Failure%20to%20Replicate.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1034,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1035","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,553,"r","0.06","0.08","Donnellan et al. (2015a) Study 6","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort","online (mTurk)",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%205%20to%209.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%205%20to%209.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1035,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1036","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,494,"r","0.1","0.09","Donnellan et al. (2015a) Study 5","signal - inconsistent, smaller","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort","online (mTurk)",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%205%20to%209.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%205%20to%209.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1036,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1037","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,210,"r","0.13","0.13","Donnellan et al. (2015a) Study 3","signal - inconsistent, smaller","UCLA Loneliness scale (20-item v3)","showering/bathing behaviors (3-items)","close","individual effort","online (SurveyMonkey); slightly different scale response options; 20-item (instead of 10-item) UCLA Loneliness Scale",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%201%20to%204.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%201%20to%204.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1037,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1038","warmth embodiment (cold packs boost loneliness effect)","Bargh & Shalev (2012) Study 2",75,"r",0.29,0.21,260,"r","0.01","0.11","Wortman et al. (2014)","no signal - inconsistent","holding cold vs. warm pack","UCLA Loneliness scale (10-item v1)","very close","individual effort",NA,"Cold packs rated as colder than warm packs (d = +3.07 ± .92)",NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","http://psycnet.apa.org/fulltext/2014-34343-001.pdf",NA,"http://psycnet.apa.org/journals/arc/2/1/13.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1038,82,213.93,2.51953333333333,35.655,13.6666666666667,0.419922222222222,0.21,39.68265,6.613775,0.90292396137002,NA
"1039","anxious attachment warm food effect","Vess (2012) Study 1",56,"d",0.6,0.55,219,"d","0.03","0.27","LeBel & Campbell (2013) Study 1","no signal - inconsistent","anxious attachment; recall breakup vs. control","warm food desirability ratings (3 items)","very close","individual effort","slightly different instructions & scale anchors for attachment measure","Known sex differences in food preferences (women liked vegetables, fruits, candy, and wine more than men whereas men liked meats, chili pepper, and beer more than women; Logan & Smith, 1986)",NA,NA,NA,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1009.3466&rep=rep1&type=pdf","10.1177/0956797611435919","http://etiennelebel.com/documents/l&c(2013,psci).pdf","https://osf.io/suza9/","https://osf.io/kizyn/","https://osf.io/kizyn/",NA,NA,NA,NA,"social",2012,NA,"individuals with high (but not low) levels of anxious attachment reported heightened preferences for warm foods when attachment concerns were activated (i.e., by reflecting on a romantic breakup). ","between-subjects","interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1039,12,32.25,0.502232142857143,5.375,2,0.0837053571428571,0.265156483021042,7.45752608496682,1.24292101416114,0.496377970358404,NA
"1040","anxious attachment warm food effect","Vess (2012) Study 1",56,"d",0.6,0.55,233,"d","0.05","0.26","LeBel & Campbell (2013) Study 2","no signal - inconsistent","anxious attachment; recall breakup vs. control","warm food desirability ratings (3 items)","exact","individual effort",NA,"Known sex differences in food preferences (women liked vegetables, fruits, candy, and wine more than men whereas men liked meats, chili pepper, and beer more than women; Logan & Smith, 1986)",NA,NA,NA,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1009.3466&rep=rep1&type=pdf","10.1177/0956797611435919","http://etiennelebel.com/documents/l&c(2013,psci).pdf","https://osf.io/mgq8f/","https://osf.io/5kyjt/","https://osf.io/5kyjt/",NA,NA,NA,NA,"social",2012,NA,"individuals with high (but not low) levels of anxious attachment reported heightened preferences for warm foods when attachment concerns were activated (i.e., by reflecting on a romantic breakup). ","between-subjects","interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1040,12,32.25,0.502232142857143,5.375,2,0.0837053571428571,0.265156483021042,7.45752608496682,1.24292101416114,0.496377970358404,NA
"1041","modulation of 1/f noise racial bias emission effect","Correll (2008) Study 2",71,"d",0.59,0.51,148,"d","0.16","0.34","Madurski & LeBel (2015) Study 1","no signal - inconsistent","avoid/use race information vs. control instructions","1/f noise (weapon identification task)","very close","individual effort","Canadian rather than US undergraduates; keyboard used instead of response box;","Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .34 ± .35); 1/f noise observed within each of the 3 conditions (p<.0001)",NA,NA,NA,"https://github.com/eplebel/science-commons/blob/master/curated/correll(2008).pdf","10.1037/0022-3514.94.1.48","http://etiennelebel.com/documents/m&l(2015,pbr).pdf","https://osf.io/faj47/","https://osf.io/fe9qz/","https://osf.io/iwe3v/",NA,NA,NA,NA,"social",2008,NA,"Use/avoid race conditions increases effort (via 1/f noise) on racial bias task (weapon identification task)","between-subjects","linear contrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1041,34,1,0.485915492957746,0.1,3.4,0.0485915492957746,0.247092907252396,8.52470530020765,0.852470530020765,0.293890933551618,NA
"1042","modulation of 1/f noise racial bias emission effect","Correll (2008) Study 2",71,"d",0.59,0.51,148,"d","-0.09","0.34","Madurski & LeBel (2015) Study 2","no signal - inconsistent","avoid/use race information vs. control instructions","1/f noise (weapon identification task)","very close","individual effort","Canadian rather than US undergraduates; keyboard used instead of response box;","Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .44 ± .35); 1/f noise observed within each of the 3 conditions (p<.0001)",NA,NA,NA,"https://github.com/eplebel/science-commons/blob/master/curated/correll(2008).pdf","10.1037/0022-3514.94.1.48","http://etiennelebel.com/documents/m&l(2015,pbr).pdf","https://osf.io/9tr4h/","https://osf.io/x8tf6/","https://osf.io/v538h/",NA,NA,NA,NA,"social",2008,NA,"Use/avoid race conditions increases effort (via 1/f noise) on racial bias task (weapon identification task)","between-subjects","linear contrast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1042,34,1,0.485915492957746,0.1,3.4,0.0485915492957746,0.247092907252396,8.52470530020765,0.852470530020765,0.293890933551618,NA
"1043","high-approach positive affect constricts attention effect","Gable & Harmon-Jones (2008) Study 2",32,"η²",0.53,NA,79,"η²","0.24","[.09,.39]","Domachowska et al. (2016) Study 1","signal - inconsistent, smaller","Affect (High-approach positive affect vs. neutral)","Attentional breadth (Navon, 1977 letter task RTs) ","very close","individual effort","German language; Mood (PANAS) assessed at study outset","Neutral mood global bias effect observed, p < .01; Successful valence manipulation check, dz = 1.14",NA,NA,NA,"http://www.socialemotiveneuroscience.org/pubs/gable_hj2008psy_sci.pdf","10.1111/j.1467-9280.2008.02112.x","https://github.com/eplebel/science-commons/blob/master/curated/domachowska-et-al(2016%2CJESP).pdf","https://osf.io/3svem/","https://osf.io/w928b/","https://osf.io/c2bt8/register/564d31db8c5e4a7c9694b2c2",NA,NA,NA,NA,"social",2008,NA,NA,"within-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1043,217,16.032,7.03175,1.6032,21.7,0.703175,NA,NA,NA,0.908491234907362,NA
"1044","high-approach positive affect constricts attention effect","Gable & Harmon-Jones (2008) Study 2",32,"η²",0.53,NA,80,"η²","0.08","[.00,.21]","Domachowska et al. (2016) Study 2","signal - inconsistent, smaller","Affect (High-approach positive affect vs. neutral)","Attentional breadth (Navon, 1977 letter task RTs) ","close","individual effort","German-normed stimuli; Low-approach positive affect within-subject condition also included","Neutral mood global bias effect observed, p < .05; Successful valence manipulation check, dz = 2.51",NA,NA,NA,"http://www.socialemotiveneuroscience.org/pubs/gable_hj2008psy_sci.pdf","10.1111/j.1467-9280.2008.02112.x","https://github.com/eplebel/science-commons/blob/master/curated/domachowska-et-al(2016%2CJESP).pdf","https://osf.io/kp92b/","https://osf.io/w928b/","https://osf.io/c2bt8/register/564d31db8c5e4a7c9694b2c2",NA,NA,NA,NA,"social",2008,NA,NA,"within-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1044,217,16.032,7.03175,1.6032,21.7,0.703175,NA,NA,NA,0.908491234907362,NA
"1045","honesty priming","Rasinski et al. (2005)",62,"d",1.21,0.55,149,"d","0.18","0.33","Pashler, Rohrer, & Harris (2012) Study 1","no signal - inconsistent","honesty vs. neutral words exposure (synonym judgment task)","candor (alcohol drinking questions)","very close","individual effort",NA,NA,NA,NA,NA,"http://j.b.legal.free.fr/Blog/share/M1/Articles%20INC/Goals/honesty%20goal%20priming.pdf","10.1016/j.jesp.2004.07.001","http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2005,NA,NA,"between-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1045,18,NA,NA,NA,1.38461538461538,NA,0.265156483021042,NA,NA,NA,NA
"1046","honesty priming","Rasinski et al. (2005)",62,"d",1.21,0.55,152,"d","-0.13","0.33","Pashler, Rohrer, & Harris (2012) Study 2","no signal - inconsistent","honesty vs. neutral words exposure (synonym judgment task)","candor (alcohol drinking questions)","very close","individual effort","UCSD online sample",NA,NA,NA,NA,"http://j.b.legal.free.fr/Blog/share/M1/Articles%20INC/Goals/honesty%20goal%20priming.pdf","10.1016/j.jesp.2004.07.001","http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2005,NA,NA,"between-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1046,18,NA,NA,NA,1.38461538461538,NA,0.265156483021042,NA,NA,NA,NA
"1047","honesty priming","Rasinski et al. (2005)",62,"d",1.21,0.55,151,"d","-0.14","0.32","Pashler, Rohrer, & Harris (2012,online) Study 3","no signal - inconsistent","honesty vs. neutral words exposure (synonym judgment task)","candor (alcohol drinking questions)","close","individual effort","US mTurk sample; BIDR also measured",NA,NA,NA,NA,"http://j.b.legal.free.fr/Blog/share/M1/Articles%20INC/Goals/honesty%20goal%20priming.pdf","10.1016/j.jesp.2004.07.001","http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2005,NA,NA,"between-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1047,18,NA,NA,NA,1.38461538461538,NA,0.265156483021042,NA,NA,NA,NA
"1048","honesty priming","Rasinski et al. (2005)",62,"d",1.21,0.55,153,"d","0.04","0.32","Pashler, Rohrer, & Harris (2012,online) Study 4","no signal - inconsistent","honesty vs. neutral words exposure (synonym judgment task)","candor (alcohol drinking questions)","close","individual effort","Indian mTurk sample; BIDR also measured",NA,NA,NA,NA,"http://j.b.legal.free.fr/Blog/share/M1/Articles%20INC/Goals/honesty%20goal%20priming.pdf","10.1016/j.jesp.2004.07.001","http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2005,NA,NA,"between-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1048,18,NA,NA,NA,1.38461538461538,NA,0.265156483021042,NA,NA,NA,NA
"1049","achievement priming","Bargh et al. (2001) Study 1",78,"d",0.7,0.46,106,"d","-0.24","0.4","Harris, Rohrer, & Pashler (2013) Study 1","no signal - inconsistent","high-achievement vs. neutral words exposure (word search puzzle)","word search performance (3 IV-unrelated puzzles)","very close","individual effort",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/f808/e462cc8169d5e4c8bb677df2f4a7f4304a16.pdf","10.1037/0022-3514.81.6.1014","http://laplab.ucsd.edu/articles/Harris_etal_PLOS2013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2001,NA,NA,"between-subjects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1049,753,37,9.89102564102564,2.17647058823529,44.2941176470588,0.581825037707391,0.224147692921427,172.929945088881,10.1723497111106,0.881128336575512,NA
